"company","title","career","address","deadline","link"
"(주)미스터픽","[첫차]와 함께 할 데이터 분석 매니저를 찾습니다.","경력무관","서울 강남구 테헤란로 447 KB우준타워 16층","상시채용","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47867029&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)크로스체크","[크로스체크] 플랫폼실 신입 개발자 인재채용","경력무관","서울 강남구 봉은사로 437 소암빌딩 602호","~ 06/01(토)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47912857&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)옐트","(주)옐트 전산 개발팀 모집 / 안드로이드 IOS 앱 개발자, DB SQL","경력무관","서울 중구 마장로 3 맥스타일 8층","채용시","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47977316&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)모멘티","백엔드 개발자 추가 채용 [강남구]","신입·경력","서울 구로구 디지털로30길 28 마리오타워, 9층 907호","~ 04/21(일)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47947154&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)에피넷","[신입/경력] Java 개발자 (~5년)","신입·경력","경기 성남시 분당구 삼평동 622번지 판교이노밸리 E동 1001호","~ 04/30(화)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47972316&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)메디씽큐","2024년 ㈜메디씽큐 각 부문 신입 및 경력 채용","신입·경력","경기 성남시 분당구 판교로255번길 35, 2층 203호","~ 04/21(일)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47932358&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"플러거","JAVA / Back-end Recruitment","경력무관","서울 강남구 영동대로 602, 6층 N070호","상시채용","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47818372&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"티이엠씨(주)","상반기 분야별 신입/경력 채용","신입·경력","충북 보은군 남부로 3750-148","~ 04/19(금)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47915521&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"위더스플래폼","MZ 여행하면서 일하고 같이 성장하는 회사 (크루즈스태프모집)","경력무관","서울 영등포구 당산로41길 11 당산 SK V1 center E동 703호","~ 04/20(토)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47615341&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)한국네트웍스","[한국앤컴퍼니그룹] 한국네트웍스 경력 채용(판교 본사)","경력3년↑","경기 성남시 분당구 판교로 286","채용시","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47748758&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)하이스틸","(주)하이스틸 스마트화추진팀 신입/경력 채용","경력무관","서울 중구 퇴계로27길 28 한영빌딩 8층 하이스틸","채용시","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47901616&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"타이아(주) 서울지점","타이아(주) 비즈니스센터 개발팀 채용공고","경력무관","서울 강남구 봉은사로 610 수도빌딩 5층 505호","~ 04/30(화)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47896344&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"주식회사퀀텀데이터(QUANTUMDATACo.,Ltd)","[퀀텀데이터] 개발팀 신입 개발자 인재채용 신입-3년차","신입·경력","서울 강남구 봉은사로 437 소암빌딩 6층 602호","~ 06/01(토)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47913885&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)트랜스코스모스코리아","[여의도/TCK] Network/ IT Infra/ IPCC 경력 담당자 채용 Ms1B","경력무관","서울 영등포구 여의대로 24 에프케이아이타워","~ 04/25(목)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47863904&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)야놀자","Data Analyst","경력 2~7년","서울 서초구 방배동 구산타워 5층","상시채용","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47790901&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"씨제이올리브네트웍스(주)","대한통운 WCS 구축 및 운영","경력 3~10년","서울 강남구 역삼로25길 35","상시채용","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47915558&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"㈜풍인무역","(주)풍인무역 전산팀 경력 채용(시스템 운영/ERP 개발)","경력2년↑","서울 영등포구 문래동3가 2동 20층","~ 05/05(일)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47937397&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)타라티.피.에스","프론트엔드 개발자 채용","경력 2~3년","서울 강남구 역삼로25길 35","~ 04/30(화)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47976228&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)건양아이티티","회계/인사총무/기계설계/생산/구매외주/전산 인재채용(신입&경력/주5일)","신입·경력","부산 강서구 미음산단5로60번길 15","~ 04/28(일)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47973719&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)이글루코퍼레이션","[기술지원센터] 보안솔루션 기술지원 엔지니어 신입/경력 채용 (서울)","신입·경력","서울 서초구 마방로10길 5 태석빌딩 7층","~ 04/30(화)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47950827&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)솔로몬텍","솔로몬텍 유럽법인 인프라(서버)/NW엔지니어 경력사원 채용","경력3년↑","독일 프랑크푸르트","~ 05/08(수)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47742234&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"엠아이큐브솔루션(주)","엠아이큐브솔루션 신입/경력 모집","신입·경력","서울 서초구 효령로55길 23 동산빌딩 2~5층","~ 05/25(토)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47864362&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"롯데정보통신(주)","[Data&AI사업팀] Data  Scientist","경력 9~12년","서울 강남구 봉은사로57길 13 프러스원 3층","상시채용","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47902902&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)맨파워그룹코리아","[Manpower] IT 전 직종 인력모집 공고문","경력무관","서울 강남구 테헤란로 409 동신빌딩","~ 04/22(월)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47846109&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"에스엠하이플러스(주)","인프라 기획 및 구축 운영 경력직 채용","경력10년↑","서울 강서구 마곡중앙8로 78, 3층","~ 04/17(수)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47924770&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)트루본","[청년일자리 도약 장려금] 각 부문별 담당자 모집","경력무관","경기 성남시 분당구 판교로228번길 15 판교세븐벤처밸리1","~ 05/01(수)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47899178&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"(주)그림","미국주재원 머신비전 CS엔지니어 채용(오하이오/테네시/미시간)","경력무관","충북 청주시 흥덕구 옥산면 국사리 503-1","~ 04/30(화)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47710904&location=ts&searchword=DBA&searchType=search&paid_fl=n&search_uuid=3feac2c7-66eb-4281-a802-f65750e7fe88"
"㈜제이슨그룹","[공구마켓/제이슨그룹] DBA(MySQL) 경력직 과장급 채용","경력5년↑","서울 용산구 서빙고로 17 (한강로3가) 센트럴파크타워 27층","~05/12(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44446825?Oem_Code=C1&logpath=1&stext=DBA&listno=1"
"㈜알라딘커뮤니케이션","㈜알라딘커뮤니케이션 DBA 모집","경력5년↑","서울 중구 서소문로 89-31 (순화동, 알라딘빌딩)","~04/30(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44427494?Oem_Code=C1&logpath=1&stext=DBA&listno=2"
"디비에프아이에스㈜","[DB FIS] DB생명(그룹관계사) DB운영(DBA) 경력 채용","경력3년↑","경기 용인시 수지구 디지털벨리로 61 (죽전동) DB손해보험 데이터센터","~05/09(목)","https://www.jobkorea.co.kr/Recruit/GI_Read/44424171?Oem_Code=C1&logpath=1&stext=DBA&listno=3"
