"company","title","career","address","deadline","link"
"㈜엘텍","하드웨어 펌웨어 H/W & F/W 개발 신입, 경력 모집합니다(정규직)","신입","경기 성남시 중원구 둔촌대로 555 (상대원동, 선일테크노피아) 903호","~05/17(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44385519?Oem_Code=C1&logpath=1&stext=하드웨어&listno=44"
"에너시스","시험장비 하드웨어 개발 연구원 모집","경력3년↑","경기 화성시 동탄기흥로 614 (영천동) 더퍼스트타워 2차 1001호","~04/26(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44378621?Oem_Code=C1&logpath=1&stext=하드웨어&listno=45"
"㈜라메디텍","[의료기기,미용기기]하드웨어(HW) 설계 개발 연구원 모집","경력3년↑","서울 금천구 벚꽃로 234 (가산동, 에이스하이엔드타워6차) 1302호","~05/02(목)","https://www.jobkorea.co.kr/Recruit/GI_Read/44372267?Oem_Code=C1&logpath=1&stext=하드웨어&listno=46"
"주식회사 이노스","메카트로닉스 제품 설계자 모집 (기구 설계,Firmware,Hardware)","신입·경력2년↑","서울 금천구 디지털로9길 65 (가산동, 백상스타타워1차) 1101호","~04/30(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44370752?Oem_Code=C1&logpath=1&stext=하드웨어&listno=47"
"㈜오토콘테크","방위산업분야 하드웨어(회로설계)개발 경력사원 채용","경력4년↑","경남 창원시 의창구 평산로 23 (팔용동) 신화테크노밸리 309호","~05/31(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44358275?Oem_Code=C1&logpath=1&stext=하드웨어&listno=48"
"바인","하드웨어 영업담당자 모십니다.","경력2년↑","경기 광명시 소하로 190 (소하동, 광명G타워) 518~520호","~05/31(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44355501?Oem_Code=C1&logpath=1&stext=하드웨어&listno=49"
"유버㈜","하드웨어 경력 엔지니어 채용","경력2년↑","경기 안산시 상록구 해안로 705 (사동) 경기테크노파크 RIT센터 8F","~05/01(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44353321?Oem_Code=C1&logpath=1&stext=하드웨어&listno=50"
"인텔릭스㈜","하드웨어 설계 개발","경력무관","경기 성남시 분당구 판교로 700 (야탑동, 분당테크노파크) D동 801호","상시채용","https://www.jobkorea.co.kr/Recruit/GI_Read/44346529?Oem_Code=C1&logpath=1&stext=하드웨어&listno=51"
"㈜크레템","(주)크레템 하드웨어팀 인원모집","신입·경력3년↑","대구 달서구 성서로9길 59 (대천동) (주)크레템 대구지점","~05/26(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44325473?Oem_Code=C1&logpath=1&stext=하드웨어&listno=52"
"에이엠㈜","하드웨어(HW)개발 모집","경력무관","경기 성남시 분당구 장미로 42 (야탑동, 야탑리더스) 6층","~04/17(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44312587?Oem_Code=C1&logpath=1&stext=하드웨어&listno=53"
