"company","title","career","address","deadline","link"
"㈜지슨","2024년 연구 개발 부문 채용 (웹 개발)","경력3년↑","서울 강남구 개포로 208 (개포동, 형지빌딩) -","상시채용","https://www.jobkorea.co.kr/Recruit/GI_Read/44392097?Oem_Code=C1&logpath=1&stext=웹&listno=77"
"㈜룩옵틱스","웹디자이너 대리/과장급 경력직 채용","경력5년↑","서울 서초구 서운로 19 (서초동, 서초월드오피스텔) 3층","~04/30(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44390142?Oem_Code=C1&logpath=1&stext=웹&listno=78"
"이노뎁㈜","웹 백앤드(GO 개발자) 경력직","경력무관","서울 금천구 디지털로9길 47 (가산동, 한신IT 타워2차) 9층, 11층","~06/03(월)","https://www.jobkorea.co.kr/Recruit/GI_Read/44387906?Oem_Code=C1&logpath=1&stext=웹&listno=79"
"㈜이퍼블릭코리아","웹 사이트 개발 및 유지보수 담당자 채용 - (주)이퍼블릭","경력","서울 양천구 목동서로 211 (목동, 범문빌딩) 전층","~05/03(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44382591?Oem_Code=C1&logpath=1&stext=웹&listno=80"
"㈜세일코리아넷","[정규직] 웹개발자(PHP, JAVA) 경력직 모집(5년이상 경력자)","신입·경력5년↑","서울 영등포구 문래동3가 55-7 에이스테크노타워 9층,11층","~05/03(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44376989?Oem_Code=C1&logpath=1&stext=웹&listno=81"
"㈜위피아","[경력] 웹 시스템 운영. 유지보수 담당자 채용","경력2년↑","서울 영등포구 경인로 775 (문래동3가, 에이스하이테크시티)","~05/03(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44375904?Oem_Code=C1&logpath=1&stext=웹&listno=82"
"㈜수성엔지니어링","(주)수성엔지니어링 크로스 브라우징, 모바일 및 반응형 웹 개발자 정규직 모집","경력4년↑","서울 송파구 정의로8길 13 (문정동, 수성위너스)","~05/03(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44374921?Oem_Code=C1&logpath=1&stext=웹&listno=83"
"㈜수성엔지니어링","(주)수성엔지니어링 GIS기반 도시개발 웹 솔루션 개발 경력직 채용","경력10년↑","서울 송파구 정의로8길 13 (문정동, 수성위너스) (주)수성엔지니어링","~05/03(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44374896?Oem_Code=C1&logpath=1&stext=웹&listno=84"
"㈜한국직무능력평가연구소","[경력] UI/UX 웹디자이너 채용","경력1년↑","서울 서초구 반포대로26길 5 (서초동) SJ빌딩 B1,2,3,4층","~05/02(목)","https://www.jobkorea.co.kr/Recruit/GI_Read/44369669?Oem_Code=C1&logpath=1&stext=웹&listno=85"
"㈜한국직무능력평가연구소","[신입] UI/UX, 웹디자이너","신입","서울 서초구 반포대로26길 5 (서초동) SJ빌딩 B1,2,3,4층","~05/02(목)","https://www.jobkorea.co.kr/Recruit/GI_Read/44369703?Oem_Code=C1&logpath=1&stext=웹&listno=86"
"㈜동양이엠에스","[충정로] 한국경제신문 그래픽디자이너(키비주얼, 웹배너, 배너, 현수막 등)  6개월 단기직 채용","경력1년↑","서울 중구 청파로 463 (중림동, 한국경제신문사) .","~05/31(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44370122?Oem_Code=C1&logpath=1&stext=웹&listno=87"
"메가스터디교육㈜","웹 서비스 기획","경력1년↑","서울 구로구 경인로 662 (신도림동, 디큐브시티)","~04/30(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44366858?Oem_Code=C1&logpath=1&stext=웹&listno=88"
"메가스터디교육㈜","웹 서비스 기획 채용","경력1년↑","서울 구로구 경인로 662 (신도림동, 디큐브시티)","~04/14(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44364954?Oem_Code=C1&logpath=1&stext=웹&listno=89"
"㈜바른손","바른손 개발팀 Node 웹 개발자 모집","경력2년↑","경기 수원시 영통구 대학3로 1 (이의동, 광교K-tower) 5층","~04/30(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44364301?Oem_Code=C1&logpath=1&stext=웹&listno=90"
"메가스터디교육㈜","공무원 웹 개발자 채용","신입·경력1년↑","서울 서초구 효령로 321 (서초동, 메가스터디)","~04/14(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44361068?Oem_Code=C1&logpath=1&stext=웹&listno=91"
"브이엠에스솔루션스","[브이엠에스솔루션스] 웹 프로그래머 (경력 2년-5년)","경력2년↑","경기 용인시 수지구 동천동 899 분당수지U-TOWER 2001호","~04/30(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44360889?Oem_Code=C1&logpath=1&stext=웹&listno=92"
"리디㈜","[글로벌콘텐츠 기업 리디] 웹소설그룹 로판 MD(신입/경력) 채용","신입·경력1년↑","서울 강남구 역삼동 702-28 어반벤치빌딩 10층","~04/30(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44359869?Oem_Code=C1&logpath=1&stext=웹&listno=93"
"㈜써머스플랫폼","[커넥트웨이브] 써머스플랫폼(에누리 가격비교) 웹개발(Front-end) 경력직 채용","경력3년↑","서울 금천구 가산디지털1로 186 (가산동, 제이플라츠) 13층 (주)써머스플랫폼","~05/01(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44358650?Oem_Code=C1&logpath=1&stext=웹&listno=94"
"㈜케이디엑스한국데이터거래소","매경미디어그룹 KDX한국데이터거래소 웹개발자 채용 (정규직)","경력2년↑","서울 중구 충무로 2 (필동1가, 매일경제신문사빌딩) 4층 KDX한국데이터거래소","~04/15(월)","https://www.jobkorea.co.kr/Recruit/GI_Read/44357494?Oem_Code=C1&logpath=1&stext=웹&listno=95"
