"company","title","career","address","deadline","link"
"옵트에이아이","임베디드 AI 개발자 (C++) (신입~2년이상)","신입-경력 2년","강서구 마곡중앙10로 10 LG사이언스파크E10동 슈퍼스타트랩11호","상시채용","https://www.wanted.co.kr/wd/187812"
"씨브이네트","임베디드 OS 개발자","경력 3-10년","서울특별시 송파구 송파대로 155, 6층","상시채용","https://www.wanted.co.kr/wd/108222"
"스카이랩스(SkyLabs)","[400억↑투자] 임베디드 펌웨어 개발자 (신입)","신입","성남시 분당구 판교로 255번길 58, 씨즈타워 703호","상시채용","https://www.wanted.co.kr/wd/188190"
"바딧","임베디드(HW) 개발자","경력 2-10년","서울특별시 금천구 가산디지털1로 25 대륭테크노타운17차 906-2호","상시채용","https://www.wanted.co.kr/wd/185785"
"바딧","임베디드(HW) 개발자 - 신입","신입","서울특별시 금천구 가산디지털1로 25 대륭테크노타운17차 906-2호","상시채용","https://www.wanted.co.kr/wd/185787"
"드림에이스","임베디드 소프트웨어 Application개발","경력 3-15년","경기 안양시 동안구 엘에스로 122, 호계 데시앙플렉스 521호","2024.04.30","https://www.wanted.co.kr/wd/212192"
"슈어소프트테크","[선행SW개발팀] 임베디드 SW 및 MBD 개발","경력 3-8년","유성구 가정로 218 융합기술연구생산센터 4층 409호","상시채용","https://www.wanted.co.kr/wd/198926"
"옵트에이아이","임베디드 AI 개발자 (C++)","경력 1-12년","강서구 마곡중앙10로 10 LG사이언스파크E10동 슈퍼스타트랩11호","상시채용","https://www.wanted.co.kr/wd/183721"
"에스알브이포지셔닝","임베디드 개발자(3년 이상)","경력 3-5년","서울특별시 성동구","상시채용","https://www.wanted.co.kr/wd/144230"
"아이비스","임베디드 개발자","경력 2-15년","수원시 영통구 창룡대로 256번길50 4층","상시채용","https://www.wanted.co.kr/wd/108453"
"이스트오토","임베디드 개발자","경력 2-5년","용인시 기흥구","상시채용","https://www.wanted.co.kr/wd/153258"
"아르고스다인","C/C++, C# 소프트웨어(임베디드리눅스 개발자)","신입","용인시 기흥구 기흥로 58-1, A동 1306호(기흥ICT밸리 SKV1)","상시채용","https://www.wanted.co.kr/wd/56616"
"크래블","임베디드(펌웨어) 개발자","경력 4-20년","서울특별시 성동구 성수일로 10 서울숲 ITCT 1602호","상시채용","https://www.wanted.co.kr/wd/130116"
"오토엘(AutoL)","[100억↑투자] 임베디드 소프트웨어 개발","경력 3-15년","경기도 성남시 수정구 금토로 80번길 11 판교이노베이션랩(지식산업센터) 305호","상시채용","https://www.wanted.co.kr/wd/99326"
"새영테크놀로지","임베디드 프로그램 개발자","경력 1-25년","한국철도기술연구원","상시채용","https://www.wanted.co.kr/wd/147028"
"에이디알에프코리아","GUI, FW 및 SW개발 / 임베디드 리룩스기반 FW개발/FPGA/HW개발","경력 1-10년","경기도 이천시 백사면 이여로 196-16","상시채용","https://www.wanted.co.kr/wd/90724"
