"company","title","career","address","deadline","link"
"펄핏","ML Engineer(머신러닝 엔지니어)","경력 2-7년","역삼로17길 51(미드타운센터 역삼), 9층 펄핏","상시채용","https://www.wanted.co.kr/wd/209193"
"드랩","[드랩아트] ML 엔지니어","경력 3-15년","강남구 역삼로 180 (마루 180)","상시채용","https://www.wanted.co.kr/wd/123360"
"에이프로코리아","AML담당자","경력 1-20년","서울특별시 강남구 테헤란로63길 11","상시채용","https://www.wanted.co.kr/wd/214738"
"플루언트","MLOps Engineer (DevOps Engineer)","경력 3-15년","서울특별시 역삼로 175, 현승빌딩(팁스타운 S3) 6층 B호","상시채용","https://www.wanted.co.kr/wd/213313"
"와들","머신러닝 엔지니어 (ML)","경력 1-5년","서울특별시 서초구 매헌로8길 39, 희경빌딩 D동","상시채용","https://www.wanted.co.kr/wd/187941"
"에코앤리치","ML/DL 엔지니어 (3년 이상)","경력 3-5년","서울특별시 서초구 방배중앙로 95, 3층 302호(방배동, 우남빌딩)","상시채용","https://www.wanted.co.kr/wd/176365"
"제네시스랩","[200억↑투자] Applied AI Scientist_MLOps (2년 이상)","경력 2-10년","중구 명동길 73, 5층","상시채용","https://www.wanted.co.kr/wd/146859"
"바이온사이트","MLOps Engineer","경력 2-10년","성동구 왕십리로58 (FORHU) 418호","상시채용","https://www.wanted.co.kr/wd/190099"
"클래스팅(Classting)","ML Ops Engineer","경력 2-10년","서울 강남구 테헤란로 503, 5층","상시채용","https://www.wanted.co.kr/wd/196518"
"엘박스","[200억↑투자] MLOps Engineer","경력 3-10년","서울특별시 강남구 테헤란로 306, 카이트타워 5층","2024.04.18","https://www.wanted.co.kr/wd/211043"
"수퍼톤","[400억↑투자] ML Engineer (5년 이상)","경력 5-15년","강남구 학동로9길 13","상시채용","https://www.wanted.co.kr/wd/212794"
"두나무(업비트/증권플러스)","AML 담당자 (STR Rule 기획/운영)","경력 1-6년","서울시 서초구 강남대로 369 (서초동, DF Tower)","상시채용","https://www.wanted.co.kr/wd/212359"
"바이온사이트","ML Engineer","경력 3-10년","성동구 왕십리로58 (FORHU) 418호","상시채용","https://www.wanted.co.kr/wd/167442"
"네이션에이","[AI R&D] ML Engineer","경력 2-10년","서울시 강남구 테헤란로 503, 하이브로빌딩 15층 1506-1507호(패스트파이브 삼성3호점)","상시채용","https://www.wanted.co.kr/wd/191546"
"아우름플래닛(Liner)","[100억↑투자] ML 엔지니어 (LLM Application)","경력 1-15년","서울특별시 마포구 양화로 140, 8층","2024.06.30","https://www.wanted.co.kr/wd/170436"
"빗썸코리아","[빗썸] AML/FDS 시스템 기획자","경력 3-10년","서울시 강남구 테헤란로 124, 삼원타워 14~18F","상시채용","https://www.wanted.co.kr/wd/210232"
"띵스파이어","머신러닝 개발자 - DL/ML 기반 데이터 분석 (3년이상)","경력 3-7년","서울 용산구 한강대로96길 27, 1층","상시채용","https://www.wanted.co.kr/wd/207290"
"코인원(coinone)","AML 팀장","경력 11-25년","서울특별시 영등포구 여의대로 108 파크원 타워1 45층, 46층","상시채용","https://www.wanted.co.kr/wd/204525"
"피어테크(지닥)","AML 자금세탁방지, 컴플라이언스 담당자 (기획)","신입-경력 10년","서울 강남구 봉은사로 112길 6 , 3층 (익성빌딩)","2024.04.30","https://www.wanted.co.kr/wd/212050"
"라이프시맨틱스","ML Researcher","경력 3-10년","강남구 언주로 533, 라이프시맨틱스빌딩","상시채용","https://www.wanted.co.kr/wd/198235"
"토스뱅크","MLOps Engineer","경력 2-20년","서울특별시 강남구 테헤란로 131","상시채용","https://www.wanted.co.kr/wd/203976"
"앤서스랩코리아","[ATI]MLOps Engineer","경력 5-10년","서울특별시 강남구 언주로 609, PAX TOWER 4층","상시채용","https://www.wanted.co.kr/wd/210659"
"디케이테크인","[카카오자회사] 카카오 AML 서비스 back-end(Java) 개발(판교)","경력 6-12년","성남시 분당구 판교역로 235 H스퀘어 N동","상시채용","https://www.wanted.co.kr/wd/208996"
"원프레딕트(onepredict)","MLOps Platform Engineer","경력 5-10년","서울특별시 강남구 테헤란로 419 강남파이낸스플라자 8층","상시채용","https://www.wanted.co.kr/wd/202049"
"더블유컨셉코리아(W컨셉)","TECH담당 검색&데이터 개발팀 AI/ML Engineer","경력 6-15년","서울시 강남구 테헤란로 231, 센터필드 EAST동 20층","상시채용","https://www.wanted.co.kr/wd/200454"
"알세미","AI/ML Researcher (시니어)","경력 5-15년","서울특별시 강남구 봉은사로78길 16","상시채용","https://www.wanted.co.kr/wd/199163"
"아우름플래닛(Liner)","[100억↑투자] ML 엔지니어 (Ranking)","경력 3-15년","서울특별시 마포구 양화로 140, 8층","2024.06.30","https://www.wanted.co.kr/wd/213106"
"슈퍼진","LLM / ML 엔지니어 (3년 이상)","경력 3-15년","성남시 분당구 판교역로 225-15 (삼평동, 업무B동) 7층","상시채용","https://www.wanted.co.kr/wd/195368"
"플루언트","AI 연구원 (MLOps, 엔지니어)","경력 2-15년","서울특별시 역삼로 175, 현승빌딩(팁스타운 S3) 6층 B호","상시채용","https://www.wanted.co.kr/wd/128700"
"텐","인공지능 MLOps 플랫폼 프론트엔드 개발자 (5년 이상)","경력 5-20년","서울 강남구 역삼동 테헤란로 146 현익빌딩 1210호","상시채용","https://www.wanted.co.kr/wd/192694"
"미리디","[미리캔버스] AI 모델 연구 (ML Researcher)","경력 3-10년","디지털로31길 12, 8층 (구로동, 태평양물산)","2024.04.25","https://www.wanted.co.kr/wd/148700"
"뷰노","AI/ML Research -Biosignal (DeepCARS) (전문연지원가능)","경력 1-3년","서울시 서초구 강남대로 479 9층","상시채용","https://www.wanted.co.kr/wd/169977"
"데이터메이커","ML Engineer","신입-경력 15년","대전광역시 유성구 죽동 유성대로 871 CU빌딩 4층","상시채용","https://www.wanted.co.kr/wd/195492"
"플리토","AI, ML Engineer 박사급","신입-경력 7년","서울특별시 강남구 영동대로 96길 20 대화빌딩, 6층","상시채용","https://www.wanted.co.kr/wd/191313"
"인핸스(Enhans)","[100억↑투자] Machine Learning (ML) Engineer","경력 1-2년","서울특별시 서초구 서초대로48길 61 (1~4층)","상시채용","https://www.wanted.co.kr/wd/154309"
"여기어때컴퍼니","ML Engineering Team Leader","경력 7-15년","서울시 강남구 봉은사로 479","상시채용","https://www.wanted.co.kr/wd/199680"
"인터엑스","[서울] LLM 어플리케이션 및 MLOps 백엔드 개발자","경력 5-10년","서울 금천구 가산디지털1로 171 가산SKV1 센터 1001호","상시채용","https://www.wanted.co.kr/wd/207176"
"버킷플레이스(오늘의집)","Senior Software Engineer, Vision ML","경력 7-20년","서울특별시 서초구 서초대로74길 4(서초동, 삼성생명서초타워) 25층","상시채용","https://www.wanted.co.kr/wd/188869"
"메이아이","머신러닝 연구원 (ML Researcher)","신입-경력 10년","삼성로85길 26, V&S빌딩 5층","상시채용","https://www.wanted.co.kr/wd/110601"
"메이아이","MLOps Engineer","경력 1-10년","삼성로85길 26, V&S빌딩 5층","상시채용","https://www.wanted.co.kr/wd/182134"
"트웰브랩스(Twelve Labs)","[200억↑투자] Senior ML Infrastructure Engineer (ML인프라 엔지니어)","경력 5-7년","용산구 이태원로27길 39-11, 2층","상시채용","https://www.wanted.co.kr/wd/169938"
"렌딧(LENDIT)","Senior CSS Modeler (AI & ML Modeler) 전문가","경력 8-15년","서울시 영등포구 여의나루로 60, 포스트타워 6층","상시채용","https://www.wanted.co.kr/wd/73639"
"아이트럭","ML 머신러닝 중급 개발자","경력 5-10년","서울특별시 서초구 동작대로 230, 10층(방배동,화련회관)","상시채용","https://www.wanted.co.kr/wd/180333"
"시프트업","[AI Labs] Backend MLOps Engineer","경력 2-99년","서초구 서초대로 77길 55, 에이프로스퀘어 4층, 14층, 15층 시프트업","상시채용","https://www.wanted.co.kr/wd/180877"
"마인즈앤컴퍼니","MLOps 개발자(전문연구요원)","경력 1-2년","서울특별시 강남구 남부순환로 2621 플래그원 13층","상시채용","https://www.wanted.co.kr/wd/178263"
"펀진","개발팀 팀장 (사업분야: AI, IoT, MLOps)","경력 10-20년","서울시 성동구 연무장5가길 7 현대테라스타워 East동 13층","상시채용","https://www.wanted.co.kr/wd/161790"
"넥슨코리아(NEXON)","[인텔리전스랩스] MLOps팀 백엔드 개발자 (Python/Go)","경력 3-99년","경기도 성남시 분당구 판교로 256번길 7, 넥슨","상시채용","https://www.wanted.co.kr/wd/151721"
"토마토체인","AML 자금세탁방지 담당자","경력 3-6년","서울특별시 마포구 양화진4길 32 이토마토빌딩","상시채용","https://www.wanted.co.kr/wd/144748"
"펀진","MLOps 엔지니어","경력 3-7년","서울시 성동구 연무장5가길 7 현대테라스타워 East동 13층","상시채용","https://www.wanted.co.kr/wd/161782"
"호두에이아이랩","MLOps SW 개발자","경력 1-12년","서울대학교 연구공원 본관 419호","상시채용","https://www.wanted.co.kr/wd/155133"
"앤트(aaant)","ML Researcher","경력 2-10년","서울특별시 강남구 논현로75길 16, 201호","상시채용","https://www.wanted.co.kr/wd/106875"
"빗썸코리아","[빗썸] 규제대응(AML, FDS 등)시스템 B/E 개발자","경력 3-15년","서울시 강남구 테헤란로 124, 삼원타워 14~18F","상시채용","https://www.wanted.co.kr/wd/211516"
"씨제이대한통운(CJ대한통운)","디지털물류플랫폼 ML Engineer","경력 1-5년","서울 강남구 강남대로 464 비제바노빌딩 6층, 더 운반","상시채용","https://www.wanted.co.kr/wd/212103"
"빗썸코리아","[빗썸] 규제대응(AML, FDS 등)시스템 F/E 개발자","경력 3-15년","서울시 강남구 테헤란로 124, 삼원타워 14~18F","상시채용","https://www.wanted.co.kr/wd/211497"
"코인원(coinone)","자금세탁방지(AML) 시스템 개발자","경력 3-10년","서울특별시 영등포구 여의대로 108 파크원 타워1 45층, 46층","상시채용","https://www.wanted.co.kr/wd/174800"
"북아이피스","머신러닝 엔지니어 (ML)","경력 3-5년","서울 서초구 법원로4길 11-6, 2층 (주)북아이피스","상시채용","https://www.wanted.co.kr/wd/195583"
"여기어때컴퍼니","MLOps Engineer","경력 3-7년","서울시 강남구 봉은사로 479","상시채용","https://www.wanted.co.kr/wd/210872"
"코인원(coinone)","시장감시 담당자(FDS/AML)","경력 3-15년","서울특별시 영등포구 여의대로 108 파크원 타워1 45층, 46층","상시채용","https://www.wanted.co.kr/wd/211139"
"토스뱅크","ML Modeler (Product)","경력 2-20년","서울특별시 강남구 테헤란로 131","상시채용","https://www.wanted.co.kr/wd/203917"
"띵스파이어","머신러닝 개발자 - DL/ML 기반 데이터 분석 (신입)","신입","서울 용산구 한강대로96길 27, 1층","상시채용","https://www.wanted.co.kr/wd/207288"
