"company","title","career","address","deadline","link"
"㈜넥슨","[프라시아 전기] 서버 프로그래머","경력","경기 성남시 분당구 판교로256번길 7 (삼평동) 넥슨코리아","상시채용","https://www.jobkorea.co.kr/Recruit/GI_Read/44209254?Oem_Code=C1&logpath=1&stext=서버&listno=22"
"㈜웹젠","[웹젠/MU Online] 서버(신입)","신입","경기 성남시 분당구 판교로 242 (삼평동) 판교디지털센터 B동","~05/11(토)","https://www.jobkorea.co.kr/Recruit/GI_Read/44207521?Oem_Code=C1&logpath=1&stext=서버&listno=23"
"㈜티시스아이티","2024년 IT 기술리더 영입 - 서버/웹프론트 엔지니어","경력","서울특별시 중구 남대문로 15 (남대문로4가)","~04/20(토)","https://www.jobkorea.co.kr/Recruit/GI_Read/44064026?Oem_Code=C1&logpath=1&stext=서버&listno=24"
"㈜넥슨","[인텔리전스랩스] 넥슨 공용 게임 서버 엔진 개발자","경력무관","경기 성남시 분당구 판교로256번길 7 (삼평동) 넥슨코리아","상시채용","https://www.jobkorea.co.kr/Recruit/GI_Read/44027916?Oem_Code=C1&logpath=1&stext=서버&listno=25"
"㈜엔씨소프트","[엔씨소프트][신규프로젝트] 서버프로그래머 모집","경력8년↑","경기 성남시 분당구 삼평동 668번지","~04/12(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/43981174?Oem_Code=C1&logpath=1&stext=서버&listno=26"
"본푸드서비스㈜","영암군[골프존카운티] 홀 매니저/ 홀 서버 채용 - 본푸드서비스(주)","신입·경력","전남 영암군 삼호읍 에프원로 121-1 (난전리)","~05/09(목)","https://www.jobkorea.co.kr/Recruit/GI_Read/44428636?Oem_Code=C1&logpath=1&stext=서버&listno=27"
"㈜엔픽셀","[이클립스] 서버 프로그래머 모집","경력무관","서울 강남구 테헤란로 231 (역삼동, 센터필드) 14층 엔픽셀","~05/20(월)","https://www.jobkorea.co.kr/Recruit/GI_Read/44422616?Oem_Code=C1&logpath=1&stext=서버&listno=28"
"자이에스앤디㈜","[GS계열사] 자이S&D(주) 서버개발자 채용","경력무관","서울 중구 퇴계로 173 (충무로3가, 남산스퀘어) 10층","~06/08(토)","https://www.jobkorea.co.kr/Recruit/GI_Read/44420390?Oem_Code=C1&logpath=1&stext=서버&listno=29"
"(주)윈스","전문연구요원 채용(병역특례)-서버 백엔드 개발","신입","경기 성남시 분당구 판교로228번길 15 (삼평동, 판교세븐벤처밸리1)","~04/14(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44415974?Oem_Code=C1&logpath=1&stext=서버&listno=30"
"(주)윈스","상시채용(경력)-서버백엔드 개발","경력","전국","~04/14(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44415727?Oem_Code=C1&logpath=1&stext=서버&listno=31"
"㈜투비소프트","[㈜투비소프트] 서버 제품 신규 기획 및 개발","경력2년↑","서울 강남구 삼성1동 108-7 인탑스빌딩 2~5층","~05/05(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44395174?Oem_Code=C1&logpath=1&stext=서버&listno=32"
"원스토어","원스토어 인앱시스템 서버 개발자 채용","경력5년↑","경기 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점판교점) Office-H 10층","~05/03(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44378370?Oem_Code=C1&logpath=1&stext=서버&listno=33"
"㈜비아이매트릭스","[코스닥기업] 서버 개발자 채용","경력5년↑","서울 강남구 선릉로 433 (역삼동, 세방빌딩) 신관 17층","~04/16(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44360467?Oem_Code=C1&logpath=1&stext=서버&listno=34"
"㈜트루본","[청년일자리 도약 장려금] 각 부문별 담당자 모집 - 개발자(JAVA), 디자인(포토샵,UI), Database엔지니어, 서버/네트워크 엔지니어, 구매, SI영업","경력무관","경기 성남시 분당구 판교로228번길 15 (삼평동, 판교세븐벤처밸리1)","~05/01(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44354722?Oem_Code=C1&logpath=1&stext=서버&listno=35"
"넷마블네오㈜","[넷마블네오] 프로젝트A 서버 담당 채용","경력3년↑","서울 구로구 디지털로26길 38 (구로동, G-SQUARE) 지타워 36층","~05/20(월)","https://www.jobkorea.co.kr/Recruit/GI_Read/44280710?Oem_Code=C1&logpath=1&stext=서버&listno=36"
"㈜엔씨소프트","[엔씨소프트] 해외 유명 IP 기반의 CCG 프로젝트 서버 프로그래머 모집","경력5년↑","경기 성남시 분당구 삼평동 668번지","~05/17(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44255686?Oem_Code=C1&logpath=1&stext=서버&listno=37"
"㈜폴리큐브","서버 및 앱 클라이언트 프로그래머를 모십니다.","경력무관","서울 강남구 테헤란로86길 15 (대치동, 동구빌딩) 동구빌딩 4층","~04/14(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44241206?Oem_Code=C1&logpath=1&stext=서버&listno=38"
"한솔테크닉스","S/W개발 (서버 프로그램) 경력","경력2년↑","충북 청주시 흥덕구 옥산면 과학산업1로 140 (남촌리)","~04/14(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44229137?Oem_Code=C1&logpath=1&stext=서버&listno=39"
"㈜셀바스에이아이","음성인식 솔루션 서버 개발","경력5년↑","서울 금천구 가산디지털1로 19 (가산동, 대륭테크노타운18차) 20층","~04/14(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44229979?Oem_Code=C1&logpath=1&stext=서버&listno=40"
"브이피㈜","[브이피] 서버개발(스팸알림서비스) 경력 채용","경력3년↑","서울 중구 을지로30길 20 (을지로4가) 을지트윈타워 13F","~04/14(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44230628?Oem_Code=C1&logpath=1&stext=서버&listno=41"
"㈜여의시스템","기술영업 경력사원 모집 - 산업용 서버","경력5년↑","경기 성남시 중원구 둔촌대로 544 (상대원동) (주)여의시스템","~05/10(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44222885?Oem_Code=C1&logpath=1&stext=서버&listno=42"
"㈜여의시스템","PM (프로젝트 매니저) 경력사원 모집 - 산업용 서버","경력3년↑","경기 성남시 중원구 둔촌대로 544 (상대원동) (주)여의시스템","~05/10(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44222053?Oem_Code=C1&logpath=1&stext=서버&listno=43"
"씨에이치솔루션㈜","[고양시 덕양구] 올림픽CC 골프장 클럽하우스 주5일 홀서버 정규직 채용","경력무관","경기 고양시 덕양구 혜음로 301 (벽제동, 올림픽컨츄리클럽) 클럽하우스","~04/12(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44215798?Oem_Code=C1&logpath=1&stext=서버&listno=44"
"㈜유니에스","[기숙사제공]에버랜드 내 삼성웰스토리 오리엔탈 주방, 홀서버, 세척직 채용","경력무관","경기 용인시 기흥구 덕영대로 1751 (하갈동, 삼성노블카운티) 삼성노블카운티","~04/12(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44210533?Oem_Code=C1&logpath=1&stext=서버&listno=45"
